STATION_ID,STATION,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION_(FT)
NEXRAD:KIWX,FT WAYNE,IN,UNITED STATES,41.358611,-85.7,1056
NEXRAD:KAPX,GAYLORD,MI,UNITED STATES,44.90635,-84.719533,1561
NEXRAD:KGGW,GLASGOW,MT,UNITED STATES,48.206361,-106.624694,2384
NEXRAD:KGLD,GOODLAND,KS,UNITED STATES,39.366944,-101.700278,3716
NEXRAD:KMVX,GRAND FORKS,ND,UNITED STATES,47.527778,-97.325556,1083
NEXRAD:KGJX,GRAND JUNCTION,CO,UNITED STATES,39.062169,-108.213761,10101
NEXRAD:KGRR,GRAND RAPIDS,MI,UNITED STATES,42.893889,-85.544889,875
NEXRAD:KTFX,GREAT FALLS,MT,UNITED STATES,47.459583,-111.385333,3805
NEXRAD:KGRB,GREEN BAY,WI,UNITED STATES,44.498633,-88.111111,823
NEXRAD:KGSP,GREER,SC,UNITED STATES,34.883306,-82.219833,1069
NEXRAD:KUEX,HASTINGS,NE,UNITED STATES,40.320833,-98.441944,2057
NEXRAD:KHDX,HOLLOMAN AFB,NM,UNITED STATES,33.077,-106.120033,4270
NEXRAD:KCBW,HOULTON,ME,UNITED STATES,46.03925,-67.806431,860
NEXRAD:KHGX,HOUSTON,TX,UNITED STATES,29.4719,-95.078733,115
NEXRAD:THOU,HOUSTON HOBBY,TX,UNITED STATES,29.516111,-95.241944,118
NEXRAD:TIAH,HOUSTON INTL,TX,UNITED STATES,30.065,-95.566944,253
NEXRAD:KHTX,HUNTSVILLE,AL,UNITED STATES,34.930556,-86.083611,1859
NEXRAD:TIDS,INDIANAPOLIS,IN,UNITED STATES,39.636944,-86.436111,846
NEXRAD:KIND,INDIANAPOLIS,IN,UNITED STATES,39.7075,-86.280278,887
NEXRAD:KJKL,JACKSON,KY,UNITED STATES,37.590833,-83.313056,1461
NEXRAD:KDGX,JACKSON BRANDON,MS,UNITED STATES,32.279944,-89.984444,609
NEXRAD:KJAX,JACKSONVILLE,FL,UNITED STATES,30.484633,-81.7019,160
NEXRAD:TJRV,JOSE APONTE DE LA TORR,PR,UNITED STATES,18.256,-65.637,50
NEXRAD:PHKM,KAMUELA,HI,UNITED STATES,20.125278,-155.777778,3966
NEXRAD:TMCI,KANSAS CITY,MO,UNITED STATES,39.498056,-94.741944,1089
NEXRAD:KEAX,KANSAS CITY,MO,UNITED STATES,38.81025,-94.264472,1092
NEXRAD:KBYX,KEY W,FL,UNITED STATES,24.5975,-81.703167,89
NEXRAD:PAKC,KING SALMON,AK,UNITED STATES,58.679444,-156.629444,144
NEXRAD:KMRX,KNOXVILLE,TN,UNITED STATES,36.168611,-83.401944,1434
NEXRAD:KARX,LA CROSSE,WI,UNITED STATES,43.822778,-91.191111,1357
NEXRAD:LPLA,LAJES AB,null,AZORES,38.73028,-27.32167,3334
NEXRAD:KLCH,LAKE CHARLES,LA,UNITED STATES,30.125306,-93.215889,137
NEXRAD:KLGX,LANGLEY HILL NW WASHIN,WA,UNITED STATES,47.116944,-124.106667,366
NEXRAD:KESX,LAS VEGAS,NV,UNITED STATES,35.70135,-114.89165,4948
NEXRAD:TLAS,LAS VEGAS,NV,UNITED STATES,36.143889,-115.00694,2057
NEXRAD:KDFX,LAUGHLIN AFB,TX,UNITED STATES,29.273139,-100.280333,1196
NEXRAD:KILX,LINCOLN,IL,UNITED STATES,40.1505,-89.336792,731
NEXRAD:KLZK,LITTLE ROCK,AR,UNITED STATES,34.8365,-92.262194,649
NEXRAD:KVTX,LOS ANGELES,CA,UNITED STATES,34.412017,-119.17875,2807
NEXRAD:KLVX,LOUISVILLE,KY,UNITED STATES,37.975278,-85.943889,833
NEXRAD:TSDF,LOUISVILLE,KY,UNITED STATES,38.046111,-85.61,732
NEXRAD:KLBB,LUBBOCK,TX,UNITED STATES,33.654139,-101.814167,3378
NEXRAD:KMQT,MARQUETTE,MI,UNITED STATES,46.531111,-87.548333,1525
NEXRAD:KMXX,MAXWELL AFB,AL,UNITED STATES,32.53665,-85.78975,560
NEXRAD:KMAX,MEDFORD,OR,UNITED STATES,42.081169,-122.717369,7561
NEXRAD:KMLB,MELBOURNE,FL,UNITED STATES,28.113194,-80.654083,149
NEXRAD:TMEM,MEMPHIS,MS,UNITED STATES,34.896111,-89.993056,482
NEXRAD:KNQA,MEMPHIS,TN,UNITED STATES,35.344722,-89.873333,435
NEXRAD:KAMX,MIAMI,FL,UNITED STATES,25.611083,-80.412667,111
NEXRAD:TMIA,MIAMI,FL,UNITED STATES,25.758056,-80.491111,125
NEXRAD:KAMX,MIAMI,FL,UNITED STATES,25.611083,-80.412667,111
NEXRAD:PAIH,MIDDLETON IS,AK,UNITED STATES,59.460767,-146.303447,132
NEXRAD:PAIH,MIDDLETON IS,AK,UNITED STATES,59.460767,-146.303447,132
NEXRAD:KMAF,MIDLAND ODESSA,TX,UNITED STATES,31.943461,-102.18925,2962
NEXRAD:TMKE,MILWAUKEE,WI,UNITED STATES,42.818889,-88.046111,932
NEXRAD:KMKX,MILWAUKEE,WI,UNITED STATES,42.9679,-88.550667,1023
NEXRAD:KMPX,MINNEAPOLIS,MN,UNITED STATES,44.848889,-93.565528,1101
NEXRAD:TMSP,MINNEAPOLIS,MN,UNITED STATES,44.871111,-92.933056,1122
NEXRAD:KMBX,MINOT AFB,ND,UNITED STATES,48.393056,-100.864444,1590
NEXRAD:KMSX,MISSOULA,MT,UNITED STATES,47.041,-113.986222,7978
NEXRAD:KMOB,MOBILE,AL,UNITED STATES,30.679444,-88.24,289
NEXRAD:PHMO,MOLOKAI,HI,UNITED STATES,21.132778,-157.180278,1444
NEXRAD:KVAX,MOODY AFB,GA,UNITED STATES,30.890278,-83.001806,330
NEXRAD:KMHX,MOREHEAD CITY,NC,UNITED STATES,34.775908,-76.876189,145
NEXRAD:KLNX,N PLATTE,NE,UNITED STATES,41.957944,-100.576222,3113
NEXRAD:TBNA,NASHVILLE,TN,UNITED STATES,35.98,-86.661944,817
NEXRAD:KOHX,NASHVILLE,TN,UNITED STATES,36.247222,-86.5625,676
NEXRAD:TMSY,NEW ORLEANS,LA,UNITED STATES,30.021944,-90.403056,98
NEXRAD:KLIX,NEW ORLEANS,LA,UNITED STATES,30.336667,-89.825417,179
NEXRAD:TEWR,NEWARK,NJ,UNITED STATES,40.593056,-74.27,135
NEXRAD:PAEC,NOME,AK,UNITED STATES,64.511389,-165.295,90
NEXRAD:KAKQ,NORFOLK RICH,VA,UNITED STATES,36.98405,-77.007361,255
NEXRAD:KOUN,NORMAN NSSL,OK,UNITED STATES,35.236058,-97.46235,1284
NEXRAD:TOKC,NORMAN WFO,OK,UNITED STATES,35.276111,-97.51,1309
NEXRAD:KOKX,NYC,NY,UNITED STATES,40.865528,-72.863917,199
NEXRAD:TJFK,NYC JFK,NY,UNITED STATES,40.588889,-73.881111,112
NEXRAD:KTLX,OKLAHOMA CITY,OK,UNITED STATES,35.333361,-97.277761,1278
NEXRAD:KOAX,OMAHA,NE,UNITED STATES,41.320369,-96.366819,1262
NEXRAD:TMCO,ORLANDO INTL,FL,UNITED STATES,28.343889,-81.326111,171
NEXRAD:KPAH,PADUCAH,KY,UNITED STATES,37.068333,-88.771944,506
NEXRAD:KPDT,PENDLETON,OR,UNITED STATES,45.69065,-118.852931,1580
NEXRAD:KDIX,PHILA,NJ,UNITED STATES,39.947089,-74.410731,230
NEXRAD:TPHL,PHILA,NJ,UNITED STATES,39.948889,-75.068889,154
NEXRAD:TPHX,PHOENIX,AZ,UNITED STATES,33.421111,-112.16305,1089
NEXRAD:KIWA,PHOENIX,AZ,UNITED STATES,33.289233,-111.669917,1426
NEXRAD:TPIT,PITTSBURGH,PA,UNITED STATES,40.501111,-80.486111,1385
NEXRAD:KPBZ,PITTSBURGH,PA,UNITED STATES,40.531717,-80.217967,1266
NEXRAD:KSFX,POCATELLO,ID,UNITED STATES,43.1056,-112.686133,4539
NEXRAD:KGYX,PORTLAND,ME,UNITED STATES,43.891306,-70.256361,474
NEXRAD:KRTX,PORTLAND,OR,UNITED STATES,45.715039,-122.965,1728
NEXRAD:KPUX,PUEBLO,CO,UNITED STATES,38.45955,-104.18135,5363
NEXRAD:TJBQ,RAFAEL HERNANDEZ AP,PR,UNITED STATES,18.485,-67.143,280
NEXRAD:TRDU,RALEIGH,NC,UNITED STATES,36.001944,-78.696944,515
NEXRAD:KRAX,RALEIGH DURHAM,NC,UNITED STATES,35.665519,-78.48975,462
NEXRAD:KUDX,RAPID CITY,SD,UNITED STATES,44.124722,-102.83,3195
NEXRAD:KRGX,RENO,NV,UNITED STATES,39.754056,-119.462028,8396
NEXRAD:KRIW,RIVERTON,WY,UNITED STATES,43.066089,-108.4773,5633
NEXRAD:KFCX,ROANOKE,VA,UNITED STATES,37.0244,-80.273969,2965
NEXRAD:KJGX,ROBINS AFB,GA,UNITED STATES,32.675683,-83.350833,618
NEXRAD:PHKI,S KAUAI,HI,UNITED STATES,21.893889,-159.5525,340
NEXRAD:PHWA,S SHORE,HI,UNITED STATES,19.095,-155.568889,1461
NEXRAD:KDAX,SACRAMENTO,CA,UNITED STATES,38.501111,-121.677833,144
NEXRAD:KMTX,SALT LAKE CITY,UT,UNITED STATES,41.262778,-112.447778,6594
NEXRAD:TSLC,SALT LAKE CITY,UT,UNITED STATES,40.966944,-111.93,4295
NEXRAD:KSJT,SAN ANGELO,TX,UNITED STATES,31.371278,-100.4925,2004
NEXRAD:KNKX,SAN DIEGO,CA,UNITED STATES,32.919017,-117.0418,1052
NEXRAD:KMUX,SAN FRANCISCO,CA,UNITED STATES,37.155222,-121.898444,3550
NEXRAD:KHNX,SAN JOAQUIN VALLEY,CA,UNITED STATES,36.314181,-119.632139,340
NEXRAD:TSJU,SAN JUAN,PR,UNITED STATES,18.473889,-66.178889,157
NEXRAD:TJUA,SAN JUAN,PR,UNITED STATES,18.115667,-66.078167,2958
NEXRAD:TJUA,SAN JUAN,PR,UNITED STATES,18.115667,-66.078167,2958
NEXRAD:KSOX,SANTA ANA MOUNTAINS,CA,UNITED STATES,33.817733,-117.636,3106
NEXRAD:KATX,SEATTLE,WA,UNITED STATES,48.194611,-122.495694,642
NEXRAD:KSHV,SHREVEPORT,LA,UNITED STATES,32.450833,-93.84125,387
NEXRAD:KFSD,SIOUX FALLS,SD,UNITED STATES,43.587778,-96.729444,1495
NEXRAD:PACG,SITKA,AK,UNITED STATES,56.852778,-135.529167,272
NEXRAD:KOTX,SPOKANE,WA,UNITED STATES,47.680417,-117.626778,2449
NEXRAD:KSGF,SPRINGFIELD,MO,UNITED STATES,37.235239,-93.400419,1375
NEXRAD:KLSX,ST LOUIS,MO,UNITED STATES,38.698611,-90.682778,722
NEXRAD:TSTL,ST LOUIS,MO,UNITED STATES,38.805,-90.488889,646
NEXRAD:KCCX,STATE COLLEGE,PA,UNITED STATES,40.923167,-78.003722,2486
NEXRAD:KLWX,STERLING,VA,UNITED STATES,38.976111,-77.4875,404
NEXRAD:KTLH,TALLAHASSEE,FL,UNITED STATES,30.397583,-84.328944,177
NEXRAD:KTBW,TAMPA,FL,UNITED STATES,27.7055,-82.401778,122
NEXRAD:TTPA,TAMPA,FL,UNITED STATES,27.86,-82.518056,92
NEXRAD:KTWX,TOPEKA,KS,UNITED STATES,38.99695,-96.23255,1415
NEXRAD:KEMX,TUCSON,AZ,UNITED STATES,31.89365,-110.63025,5319
NEXRAD:TTUL,TULSA,OK,UNITED STATES,36.071111,-95.826944,823
NEXRAD:KINX,TULSA,OK,UNITED STATES,36.175131,-95.564161,749
NEXRAD:KVNX,VANCE AFB,OK,UNITED STATES,36.740617,-98.127717,1258
NEXRAD:KVBX,VANDENBERG AFB,CA,UNITED STATES,34.83855,-120.397917,1354
NEXRAD:TPBI,W PALM BEACH,FL,UNITED STATES,26.688056,-80.273056,135
NEXRAD:TIAD,WASHINGTON DULLES,VA,UNITED STATES,39.083889,-77.528889,472
NEXRAD:TDCA,WASHINGTON NATL,MD,UNITED STATES,38.758889,-76.961944,344
NEXRAD:TICH,WICHITA,KS,UNITED STATES,37.506944,-97.436944,1352
NEXRAD:KICT,WICHITA,KS,UNITED STATES,37.654444,-97.443056,1400
NEXRAD:KLTX,WILMINGTON,NC,UNITED STATES,33.98915,-78.429108,145
NEXRAD:KYUX,YUMA,AZ,UNITED STATES,32.495281,-114.656711,239
NEXRAD:PGUA,ANDERSEN AFB AGANA,GU,GUAM,13.455833,144.811111,386
NEXRAD:RKSG,CAMP HUMPHREYS,null,SOUTH KOREA,37.207569,127.285561,1521
NEXRAD:RODN,KADENA,null,JAPAN,26.3078,127.903469,412
NEXRAD:RKJK,KUNSAN,null,SOUTH KOREA,35.924167,126.622222,192
